bit size of N,Average Time
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.00390625
19,0.0
20,0.0
21,0.00390625
22,0.0
23,0.00390625
24,0.00390625
25,0.0078125
26,0.01171875
27,0.015625
28,0.01953125
29,0.02734375
30,0.0390625
31,0.0625
32,0.0703125
33,0.1171875
34,0.125
35,0.23046875
36,0.32421875
37,0.42578125
38,0.50390625
39,0.83984375
40,1.1328125
41,1.67578125
42,2.3359375
43,3.58984375
44,4.98046875
45,6.97265625
46,8.4296875
47,12.67578125
48,16.4296875
49,29.46875
50,36.93359375
