bit size of p and a,Mean time,Std time
12,0.0001496553421020508,0.0003562510060949705
13,0.0003989219665527344,0.0004885776442553785
14,0.0005470156669616699,0.0005841738976422752
15,0.001396644115447998,0.0008006861993799257
16,0.00179518461227417,0.0015642542106771686
17,0.006035256385803223,0.0032108825134542556
18,0.012622809410095215,0.0064626544618369116
19,0.019846832752227782,0.013860068684745019
20,0.03861132860183716,0.023593878780505992
21,0.06991361379623413,0.038133653321498186
22,0.19316775798797609,0.10603497667515793
23,0.33139082193374636,0.22229953469687483
24,0.7007287263870239,0.39703413083226724
25,1.3093053221702575,1.0058682651801027
26,2.6086623549461363,1.8823042905049117
