bit size of p and a,Mean time,Std time
8,9.970664978027343e-05,0.00029912029140458324
9,0.0001992344856262207,0.00039847019362189396
10,0.00034880638122558594,0.0004753485450900242
11,0.0006981253623962403,0.00045703489233708155
12,0.001346433162689209,0.0011491691132859926
13,0.003291201591491699,0.0017257068490982065
14,0.006482672691345215,0.004476886141929214
15,0.018498969078063966,0.006378476959334498
16,0.02642984390258789,0.02075280696076214
17,0.06772387027740479,0.03687005922676144
18,0.1345107913017273,0.11105248241153268
19,0.27296321392059325,0.17493412995040625
20,0.7120176672935485,0.4036267708975947
21,1.2666365146636962,0.9927732016492485
