bit size of p and a,Mean time,Std time
13,0.0,0.0
14,5.1403045654296874e-05,0.0002240606813972876
15,0.00014961957931518554,0.0003561658497025743
16,0.0001994013786315918,0.00039880341559695733
17,0.0004985332489013672,0.000498533761997041
18,0.0007479906082153321,0.0006963003932799068
19,0.002244293689727783,0.0014082239297836183
20,0.0042402386665344235,0.002710172191270564
21,0.006731998920440674,0.003439799721687423
22,0.010971760749816895,0.00638462856837462
23,0.030524706840515135,0.014978492957628813
24,0.07500154972076416,0.03651220697105223
25,0.12956377267837524,0.06854870926554252
26,0.1947012424468994,0.096762643241198
27,0.5047426342964172,0.2890341369982992
28,1.0684574127197266,0.5532106399055357
29,2.2283501625061035,1.4605942676936827
