bit size of p and a,Mean time,Std time
10,0.00019806623458862305,0.0003961737750335428
11,0.00039893388748168945,0.0005817202651936333
12,0.0006482958793640137,0.0007900954090536974
13,0.0022938728332519533,0.0015493993638618121
14,0.004388248920440674,0.0024509517810936267
15,0.008876323699951172,0.006049181938342109
16,0.019597625732421874,0.011822776973091559
17,0.042884647846221924,0.028256889768591486
18,0.1037239670753479,0.08149516813076944
19,0.24581830501556395,0.11990205835405128
20,0.41203831434249877,0.28800797679033247
21,0.7985264301300049,0.5541466951156492
22,2.268860161304474,1.3113781241006561
