bit size of p and a,Mean time,Std time
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,4.98652458190918e-05,0.00021735756732023522
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,4.98652458190918e-05,0.00021735756732023522
18,4.98652458190918e-05,0.00021735756732023522
19,9.974241256713868e-05,0.00029922724007600844
20,0.00019941329956054687,0.0003988280457639614
21,0.00029920339584350587,0.00045704075779391337
22,0.0005984067916870117,0.0006587998377442391
23,0.001495993137359619,0.0009194375990974101
24,0.0022954225540161135,0.0016434454163527102
25,0.004986917972564698,0.0025598532139474816
