bit size of p and a,Mean time,Std time
20,0.0012466192245483398,0.00043275299154192084
21,0.001695430278778076,0.0004572945433223973
22,0.0025415778160095214,0.0005003850123350237
23,0.0035405397415161134,0.0004994071342497412
24,0.004936802387237549,0.0007379157071609671
25,0.007628846168518067,0.0009042568435609923
26,0.010272502899169922,0.001269090858630443
27,0.015906143188476562,0.0013218895330812698
28,0.022290420532226563,0.002050323556436884
29,0.033712375164031985,0.0049182294842566796
30,0.05051494836807251,0.005203659797796194
31,0.0963430404663086,0.01580711140580721
32,0.14098175764083862,0.018785028822445222
33,0.22860418558120726,0.0286686872647936
34,0.3441291689872742,0.04634460784538155
35,0.4871121883392334,0.06099005901941661
36,0.688356876373291,0.0844964408961504
37,1.0233541488647462,0.10129712807795715
38,1.4946043729782104,0.20789140131038905
39,2.279893171787262,0.2851598929229682
40,3.184828209877014,0.4148934837707841
41,5.074224841594696,0.5376441963895676
