bit size of N,Average Value of Samples,Average Time
10,791.5,0.0
11,1714.0,0.0
12,2684.0,0.0
13,7539.5,0.0
14,9419.0,0.0
15,25943.0,0.0
16,46767.0,0.0
17,100889.5,0.0
18,170668.0,0.00390625
19,420819.5,0.00390625
20,655942.5,0.0
21,1853315.5,0.0078125
22,2607192.5,0.0078125
23,7450294.0,0.01171875
24,10712511.0,0.01171875
25,26646678.0,0.015625
26,46450982.0,0.015625
27,121478518.5,0.01953125
28,193921483.5,0.03125
29,494844920.5,0.03125
30,777445932.0,0.03125
31,1746733648.5,0.05859375
32,3013362270.5,0.0703125
33,6519587501.0,0.08984375
34,12000965732.5,0.09375
35,27976603778.0,0.12890625
36,44223601019.5,0.14453125
37,110620678028.0,0.1875
38,170862436576.5,0.21875
39,457334944428.5,0.28515625
40,746820960043.5,0.265625
41,1674595132320.0,0.41796875
42,3164168831460.0,0.48828125
43,7712618919822.0,0.62890625
44,10355714749896.0,0.6796875
45,28160385640977.5,0.90234375
46,40879709509693.0,1.0078125
47,116074531396209.5,1.34375
48,178331989162672.0,1.55078125
49,465672634991523.0,1.9921875
50,721266887150470.0,2.23046875
