bit size of N,Average Value of Samples,Average Operations,Average Maximum Operations
10,661.0,2.75,50.65426022402968
11,1671.0,3.5,63.831969922221035
12,2779.5,6.25,72.43143861973446
13,6945.5,8.25,91.1598737185416
14,10960.5,7.75,102.16423846586434
15,25517.0,7.75,126.21127287233367
16,50539.0,20.25,149.21260935930886
17,107139.0,35.5,180.1463125825412
18,162944.5,69.75,200.4010634816928
19,406872.0,210.25,251.59089106145026
20,700418.5,232.0,287.8311634932928
21,1868840.5,183.75,369.6864349152457
22,2679054.0,235.5,403.5049460665135
23,7064995.5,408.25,514.8000148365737
24,10228901.5,264.25,564.8262435781253
25,30951553.5,560.25,745.7548476133127
26,38403181.5,713.0,787.0769751035243
27,98135187.0,989.0,992.893364708244
28,169009506.0,1139.75,1139.758409008486
29,462003162.5,1190.25,1464.907403360704
30,669593187.5,1606.5,1606.590992951347
31,1738865180.5,2034.5,2034.4026988105895
32,2755130130.5,2288.0,2288.0663072128896
33,6681907296.0,2577.0,2855.4553805876603
34,10282523142.0,3181.0,3180.9620430952436
35,29892185838.5,4154.75,4154.935021336359
36,46724879829.0,4636.75,4636.786510154849
37,111704363769.0,5780.5,5780.419059726724
38,188737246446.0,6571.0,6570.6217459996915
39,449660563971.0,8163.25,8163.255201104287
40,727968511386.5,9212.0,9212.242908166141
41,1820073416213.5,11591.75,11591.579839982642
42,3154106557727.0,13302.25,13301.916971327795
43,7151009903635.5,16343.75,16344.033761252753
44,11184720909952.5,18277.75,18277.685360317628
45,29889817858984.5,23375.75,23375.861161588276
46,46753697123795.5,26139.5,26139.637632928494
47,117707515134564.0,32925.0,32925.18069933795
48,206383412005011.5,37812.25,37812.51642850448
49,474045167810120.0,46534.25,46534.25156233028
50,726213066992664.0,51658.5,51658.62188914712
