bit size of N,Average Time
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.00390625
19,0.00390625
20,0.00390625
21,0.0078125
22,0.0078125
23,0.0078125
24,0.01171875
25,0.01953125
26,0.0234375
27,0.02734375
28,0.03125
29,0.03515625
30,0.046875
31,0.06640625
32,0.06640625
33,0.09765625
34,0.109375
35,0.13671875
36,0.16015625
37,0.22265625
38,0.2421875
39,0.30859375
40,0.34375
41,0.453125
42,0.515625
43,0.5546875
44,0.76953125
45,1.0
46,1.08984375
47,1.41015625
48,1.59765625
49,1.9140625
50,2.19140625
